2025-04-29 09:25:16.647 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0014.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:16.647 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0015.opus
2025-04-29 09:25:16.648 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0015.wav
2025-04-29 09:25:19.318 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0015.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:19.318 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0015.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:19.319 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0012.opus
2025-04-29 09:25:19.319 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0012.wav
2025-04-29 09:25:23.838 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0012.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:23.839 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0012.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:23.840 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0013.opus
2025-04-29 09:25:23.840 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0013.wav
2025-04-29 09:25:26.967 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0013.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:26.967 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0013.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:25:26.968 | SUCCESS  | __main__:main:135 - Processing completed successfully
2025-04-29 09:30:01.534 | INFO     | __main__:main:122 - Starting WhatsApp voice note transcription process
2025-04-29 09:30:01.534 | INFO     | __main__:setup_directories:30 - Directories setup complete
2025-04-29 09:30:01.534 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0014.opus
2025-04-29 09:30:01.534 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0014.wav
2025-04-29 09:30:04.745 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0014.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:04.746 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0014.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:04.747 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0015.opus
2025-04-29 09:30:04.747 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0015.wav
2025-04-29 09:30:06.798 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0015.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:06.799 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0015.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:06.800 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0012.opus
2025-04-29 09:30:06.800 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0012.wav
2025-04-29 09:30:09.534 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0012.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:09.534 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0012.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:09.534 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0013.opus
2025-04-29 09:30:09.534 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0013.wav
2025-04-29 09:30:12.834 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0013.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:12.835 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0013.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:30:12.835 | SUCCESS  | __main__:main:135 - Processing completed successfully
2025-04-29 09:36:00.835 | INFO     | __main__:main:122 - Starting WhatsApp voice note transcription process
2025-04-29 09:36:00.835 | INFO     | __main__:setup_directories:30 - Directories setup complete
2025-04-29 09:36:00.836 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0014.opus
2025-04-29 09:36:00.836 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0014.wav
2025-04-29 09:36:04.281 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0014.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:04.282 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0014.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:04.282 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0015.opus
2025-04-29 09:36:04.282 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0015.wav
2025-04-29 09:36:06.352 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0015.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:06.352 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0015.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:06.353 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0012.opus
2025-04-29 09:36:06.353 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0012.wav
2025-04-29 09:36:10.143 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0012.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:10.143 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0012.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:10.143 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0013.opus
2025-04-29 09:36:10.143 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0013.wav
2025-04-29 09:36:14.854 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0013.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:14.854 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0013.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:36:14.854 | SUCCESS  | __main__:main:135 - Processing completed successfully
2025-04-29 09:42:39.758 | INFO     | __main__:main:183 - Starting WhatsApp voice note transcription process
2025-04-29 09:42:39.758 | INFO     | __main__:setup_directories:30 - Directories setup complete
2025-04-29 09:42:39.759 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0014.opus
2025-04-29 09:42:39.759 | INFO     | __main__:process_files:169 - Transcribing PTT-20250428-WA0014.wav
